"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2017 RK2)","2083-2083","1","8.6e-6","7.30","28.0","0.009","-6.76","-6.76","0","bK17R02K"
"(2013 PS13)","2096-2096","1","2.4e-6","17.26","27.3","0.012","-6.76","-6.76","0","bK13P13S"
"(2017 HJ)","2070-2117","20","3.4e-6","14.83","27.5","0.011","-6.77","-7.57","0","bK17H00J"
"(2007 UT3)","2054-2116","8","5.1e-7","9.05","25.7","0.024","-6.78","-7.15","0","bK07U03T"
"(2016 FZ13)","2108-2117","6","2.0e-5","4.30","28.3","0.007","-6.78","-7.13","0","bK16F13Z"
"(2010 CA)","2022-2022","1","7.4e-9","14.70","24.4","0.044","-6.79","-6.79","0","bK10C00A"
"(2014 FE)","2034-2081","11","1.6e-6","19.91","27.6","0.010","-6.79","-7.35","0","bK14F00E"
"(2004 DA53)","2111-2112","3","9.0e-6","9.35","27.9","0.009","-6.80","-6.87","0","bK04D53A"
"(2005 BS1)","2024-2041","3","2.8e-7","12.35","27.3","0.012","-6.81","-6.89","0","bK05B01S"
"(2013 NE24)","2059-2112","9","3.4e-6","10.73","27.4","0.011","-6.81","-7.17","0","bK13N24E"
"(2002 XV90)","2101-2114","7","4.8e-7","7.63","25.2","0.031","-6.82","-7.07","0","bK02X90V"
"(2014 TL)","2072-2114","8","6.3e-6","10.72","27.8","0.009","-6.82","-7.00","0","bK14T00L"
"(2015 HE183)","2058-2105","24","6.0e-6","13.73","28.3","0.008","-6.82","-7.28","0","bK15HI3E"
"(2010 RM80)","2085-2116","21","1.1e-5","5.36","27.9","0.009","-6.83","-7.34","0","bK10R80M"
"(2014 HY198)","2041-2116","240","4.4e-5","6.53","29.6","0.004","-6.83","-7.39","0","bK14HJ8Y"
"(2017 DB120)","2053-2103","8","1.3e-8","14.35","23.0","0.085","-6.84","-7.13","0","bK17DC0B"
"(2007 EZ25)","2087-2087","2","2.1e-7","20.74","25.6","0.026","-6.84","-7.09","0","bK07E25Z"
"(2006 QK33)","2116-2116","1","5.7e-8","12.46","23.6","0.065","-6.85","-6.85","0","bK06Q33K"
"(2009 ST171)","2066-2066","1","1.2e-6","9.83","26.8","0.015","-6.86","-6.86","0","bK09SH1T"
"(2012 BP123)","2021-2117","306","1.3e-6","4.85","27.1","0.013","-6.87","-7.70","0","bK12BC3P"
"(2014 LJ)","2055-2116","40","1.5e-5","3.61","28.5","0.007","-6.89","-7.82","0","bK14L00J"
"(2015 FF36)","2059-2077","7","9.5e-7","8.85","26.5","0.017","-6.89","-7.16","0","bK15F36F"
"(2016 SU2)","2102-2115","12","4.4e-6","12.73","27.7","0.010","-6.89","-7.27","0","bK16S02U"
